d,valence,eltype,tol,ops,method,solver,der_seconds,strat_seconds,total_seconds,bytes,nullity,lsq_err,support,perm_ok,dims,nnz,status
75,3,Float64,1e-16,universal,Auto,none,7.9799,0.0000,7.9799,340317376,0,NaN,NaN,false,75 75 75,2850,error: no nontrivial derivations at tol = 1.0e-16
75,3,Float64,1e-16,universal,QuickDer,none,5.2524,0.0000,5.2524,340315424,0,NaN,NaN,false,75 75 75,2850,error: no nontrivial derivations at tol = 1.0e-16
75,3,Float64,1e-16,symmetric,Auto,none,6.6953,0.0000,6.6953,340317376,0,NaN,NaN,false,75 75 75,2850,error: no nontrivial derivations at tol = 1.0e-16
75,3,Float64,1e-16,symmetric,SymmetricGram,none,0.0000,0.0000,0.0000,0,0,NaN,NaN,false,75 75 75,2850,error: ArgumentError: SymmetricGram estimates 2778040800 bytes for d=75; above max_bytes=1073741824; raise max_bytes explicitly or use :SylverLining
80,3,Float32,1e-08,universal,Auto,none,7.2806,0.1474,7.4280,363049824,13,1.331e-01,0.9823,false,80 80 80,3240,ok
80,3,Float32,1e-08,universal,QuickDer,none,11.3605,0.1188,11.4793,363047872,13,1.228e-01,0.9849,false,80 80 80,3240,ok
80,3,Float32,1e-08,symmetric,Auto,none,12.8728,0.0738,12.9466,378407680,3,1.774e-04,1.0000,true,80 80 80,3240,ok
80,3,Float32,1e-08,symmetric,SymmetricGram,none,0.0000,0.0000,0.0000,0,0,NaN,NaN,false,80 80 80,3240,error: ArgumentError: SymmetricGram estimates 1795399360 bytes for d=80; above max_bytes=1073741824; raise max_bytes explicitly or use :SylverLining
80,3,Float64,1e-16,universal,Auto,none,8.6622,0.0000,8.6622,467284016,0,NaN,NaN,false,80 80 80,3240,error: no nontrivial derivations at tol = 1.0e-16
80,3,Float64,1e-16,universal,QuickDer,none,10.9840,0.0000,10.9840,467282064,0,NaN,NaN,false,80 80 80,3240,error: no nontrivial derivations at tol = 1.0e-16
