case,truth,T,solver,mult,eigtol,seconds,nullity,certified,rule,gap,spec1,spec2,spec3,spec4,spec5
sphere4-d6,4,Float64,KrylovSolver,100.0,2.22e-14,0.02,4,true,gap,1.349e+12,6.55e-17,6.65e-17,8.82e-17,1.31e-16,0.0015
sphere4-d6,4,Float32,ArpackSolver,1.0,1.19e-07,0.74,4,true,gap,2513,5.11e-09,6.09e-09,9.31e-09,3.06e-08,0.0015
sphere4-d6,4,Float32,ArpackSolver,3.0,3.58e-07,0.00,4,true,gap,2513,5.24e-09,2.34e-08,7.78e-08,8.24e-08,0.0015
sphere4-d6,4,Float32,ArpackSolver,10.0,1.19e-06,0.00,4,true,gap,2513,3e-10,1.19e-08,5.37e-08,1.18e-07,0.0015
sphere4-d6,4,Float32,ArpackSolver,30.0,3.58e-06,0.00,4,true,gap,2513,1.38e-08,2.54e-08,3.14e-08,6.3e-08,0.0015
sphere4-d6,4,Float32,ArpackSolver,100.0,1.19e-05,0.00,4,true,gap,2513,2.82e-10,8.94e-09,1.86e-08,9.47e-08,0.0015
sphere4-d6,4,Float32,KrylovSolver,1.0,1.19e-07,1.78,0,false,threshold,51.44,3.07e-05,8.33e-05,0.00152,0.00226,0.00769
sphere4-d6,4,Float32,KrylovSolver,3.0,3.58e-07,0.05,0,true,threshold,618.8,0.000369,0.000757,0.00151,0.00152,0.00264
sphere4-d6,4,Float32,KrylovSolver,10.0,1.19e-06,0.05,0,true,threshold,742.5,0.000443,0.000954,0.00123,0.00366,0.00481
sphere4-d6,4,Float32,KrylovSolver,30.0,3.58e-06,0.04,0,true,threshold,931.9,0.000555,0.000791,0.00181,0.00234,0.00462
sphere4-d6,4,Float32,KrylovSolver,100.0,1.19e-05,0.03,0,true,threshold,381.9,0.000228,0.00113,0.00216,0.00345,0.00356
sphere4-d6,4,Float16,ArpackSolver,1.0,1.19e-07,0.00,4,true,gap,2514,2.19e-08,2.26e-08,5.49e-08,9.92e-08,0.0015
sphere4-d6,4,Float16,ArpackSolver,3.0,3.58e-07,0.00,4,true,gap,2514,2.67e-09,2.45e-08,4.81e-08,5.21e-08,0.0015
sphere4-d6,4,Float16,ArpackSolver,10.0,1.19e-06,0.00,4,true,gap,2514,7.34e-09,8.22e-09,4.3e-08,7.03e-08,0.0015
sphere4-d6,4,Float16,ArpackSolver,30.0,3.58e-06,0.00,4,true,gap,2514,1.75e-10,1.35e-08,4.17e-08,1.07e-07,0.0015
sphere4-d6,4,Float16,ArpackSolver,100.0,1.19e-05,0.00,4,true,gap,2514,1.27e-09,3.66e-08,6.05e-08,9.16e-08,0.0015
sphere4-d6,4,Float16,KrylovSolver,1.0,1.19e-07,0.07,0,false,threshold,42.45,2.53e-05,0.00155,0.00163,0.00347,0.00353
