d,seed,strategy,seconds,matvecs,nbelow,max_null_resid_rel,next_over_lmax,extra
36,1,KK-Lanczos nev16 kd64 tol1e-10,4.108,297,2,7.57e-16,7.13e-05,
36,1,KK-deflated nev2 kd32 tol1e-10,32.434,873,3,4.23e-14,7.13e-05,4
36,1,KK-deflated nev4 kd64 tol1e-10,39.132,883,3,5.16e-16,7.13e-05,4
36,1,KK-block b2 nev4 kd64 tol1e-10,10.569,299,2,5.17e-15,7.13e-05,
36,1,KK-block b4 nev4 kd64 tol1e-10,8.600,429,3,1.39e-13,7.13e-05,
36,1,KK-block b4 nev4 kd128 tol1e-10,10.129,389,3,6.18e-14,7.13e-05,
36,1,KK-block b8 nev8 kd128 tol1e-10,11.168,689,3,8.13e-15,7.13e-05,
36,2,Arpack nev4 ncv20 tol1e-10,9.642,635,3,5.68e-07,2.80e-04,
36,2,Arpack nev4 ncv64 tol1e-10,15.145,759,4,5.68e-07,NaN,
36,2,Arpack nev4 ncv128 tol1e-10,17.936,610,4,5.68e-07,NaN,
36,2,Arpack nev16 ncv33 tol1e-10,9.924,507,4,5.68e-07,2.80e-04,
36,2,Arpack nev16 ncv128 tol1e-10,12.475,445,4,5.68e-07,2.80e-04,
36,2,KK-Lanczos nev4 kd32 tol1e-10,3.732,202,2,5.68e-07,2.80e-04,
36,2,KK-Lanczos nev4 kd128 tol1e-10,7.106,181,2,5.68e-07,2.80e-04,
36,2,KK-Lanczos nev4 kd256 tol1e-10,22.995,462,4,5.68e-07,2.80e-04,
36,2,KK-Lanczos nev16 kd64 tol1e-10,16.756,414,4,5.68e-07,2.80e-04,
36,2,KK-deflated nev2 kd32 tol1e-10,20.178,691,4,5.68e-07,2.80e-04,4
36,2,KK-deflated nev4 kd64 tol1e-10,16.551,752,4,5.68e-07,2.80e-04,4
36,2,KK-block b2 nev4 kd64 tol1e-10,4.210,299,3,5.68e-07,2.80e-04,
36,2,KK-block b4 nev4 kd64 tol1e-10,7.005,485,4,5.68e-07,2.80e-04,
36,2,KK-block b4 nev4 kd128 tol1e-10,8.708,441,4,5.68e-07,2.80e-04,
36,2,KK-block b8 nev8 kd128 tol1e-10,8.837,745,4,5.68e-07,2.80e-04,
36,3,Arpack nev4 ncv20 tol1e-10,4.039,516,3,5.46e-16,2.68e-03,
36,3,Arpack nev4 ncv64 tol1e-10,7.533,641,3,6.02e-16,2.68e-03,
36,3,Arpack nev4 ncv128 tol1e-10,10.766,734,3,1.04e-15,2.68e-03,
36,3,Arpack nev16 ncv33 tol1e-10,5.948,409,3,5.74e-16,2.68e-03,
36,3,Arpack nev16 ncv128 tol1e-10,6.958,440,3,8.83e-16,2.68e-03,
36,3,KK-Lanczos nev4 kd32 tol1e-10,3.458,240,2,6.76e-13,2.68e-03,
36,3,KK-Lanczos nev4 kd128 tol1e-10,3.007,231,2,1.10e-15,2.68e-03,
36,3,KK-Lanczos nev4 kd256 tol1e-10,6.815,359,3,8.09e-16,2.68e-03,
36,3,KK-Lanczos nev16 kd64 tol1e-10,5.427,319,3,1.84e-13,2.68e-03,
36,3,KK-deflated nev2 kd32 tol1e-10,19.833,626,3,1.84e-15,2.68e-03,4
36,3,KK-deflated nev4 kd64 tol1e-10,24.934,633,3,6.49e-16,2.68e-03,3
36,3,KK-block b2 nev4 kd64 tol1e-10,11.960,247,2,7.71e-16,2.68e-03,
36,3,KK-block b4 nev4 kd64 tol1e-10,18.045,401,3,6.05e-14,2.68e-03,
36,3,KK-block b4 nev4 kd128 tol1e-10,17.949,389,3,2.40e-15,2.68e-03,
36,3,KK-block b8 nev8 kd128 tol1e-10,33.502,745,3,1.53e-15,2.68e-03,
36,4,Arpack nev4 ncv20 tol1e-10,22.309,503,3,6.68e-16,2.70e-03,
36,4,Arpack nev4 ncv64 tol1e-10,22.061,531,3,8.37e-16,2.70e-03,
36,4,Arpack nev4 ncv128 tol1e-10,26.565,607,3,9.13e-16,2.70e-03,
36,4,Arpack nev16 ncv33 tol1e-10,21.126,499,3,7.88e-16,2.70e-03,
36,4,Arpack nev16 ncv128 tol1e-10,18.126,440,3,8.27e-16,2.70e-03,
36,4,KK-Lanczos nev4 kd32 tol1e-10,10.530,239,2,6.80e-13,2.70e-03,
36,4,KK-Lanczos nev4 kd128 tol1e-10,10.148,232,2,7.89e-16,2.70e-03,
36,4,KK-Lanczos nev4 kd256 tol1e-10,15.362,359,3,6.43e-16,2.70e-03,
36,4,KK-Lanczos nev16 kd64 tol1e-10,15.203,428,3,6.64e-16,2.70e-03,
36,4,KK-deflated nev2 kd32 tol1e-10,23.140,613,3,1.84e-14,2.70e-03,4
36,4,KK-deflated nev4 kd64 tol1e-10,25.806,633,3,6.59e-16,2.70e-03,3
36,4,KK-block b2 nev4 kd64 tol1e-10,16.658,429,3,1.28e-14,2.70e-03,
36,4,KK-block b4 nev4 kd64 tol1e-10,17.866,429,3,1.08e-13,2.70e-03,
36,4,KK-block b4 nev4 kd128 tol1e-10,14.854,389,3,4.28e-14,2.70e-03,
36,4,KK-block b8 nev8 kd128 tol1e-10,29.466,801,3,1.12e-15,2.70e-03,
36,5,Arpack nev4 ncv20 tol1e-10,20.564,699,2,6.71e-16,5.11e-06,
36,5,Arpack nev4 ncv64 tol1e-10,19.782,878,3,6.97e-16,5.11e-06,
36,5,Arpack nev4 ncv128 tol1e-10,35.469,1323,3,1.10e-15,5.11e-06,
36,5,Arpack nev16 ncv33 tol1e-10,16.271,502,3,6.87e-16,5.11e-06,
36,5,Arpack nev16 ncv128 tol1e-10,21.079,440,3,1.03e-15,5.11e-06,
36,5,KK-Lanczos nev4 kd32 tol1e-10,6.190,227,1,5.34e-15,5.11e-06,
36,5,KK-Lanczos nev4 kd128 tol1e-10,10.908,386,3,1.99e-14,5.11e-06,
36,5,KK-Lanczos nev4 kd256 tol1e-10,17.266,463,3,7.83e-16,5.11e-06,
36,5,KK-Lanczos nev16 kd64 tol1e-10,11.352,297,2,6.34e-13,5.11e-06,
36,5,KK-deflated nev2 kd32 tol1e-10,33.798,860,3,7.20e-13,5.11e-06,4
36,5,KK-deflated nev4 kd64 tol1e-10,32.184,883,3,2.94e-14,5.11e-06,4
36,5,KK-block b2 nev4 kd64 tol1e-10,8.967,325,2,1.71e-14,5.11e-06,
36,5,KK-block b4 nev4 kd64 tol1e-10,3.972,485,3,5.05e-13,5.11e-06,
36,5,KK-block b4 nev4 kd128 tol1e-10,3.715,441,3,6.51e-14,5.11e-06,
36,5,KK-block b8 nev8 kd128 tol1e-10,5.732,689,3,1.05e-13,5.11e-06,
40,1,Arpack nev4 ncv20 tol1e-10,5.816,571,2,5.70e-16,5.96e-05,
40,1,Arpack nev4 ncv64 tol1e-10,12.418,792,3,5.59e-16,5.96e-05,
40,1,Arpack nev4 ncv128 tol1e-10,18.426,837,3,6.49e-16,5.96e-05,
40,1,Arpack nev16 ncv33 tol1e-10,16.805,559,3,7.33e-16,5.96e-05,
40,1,Arpack nev16 ncv128 tol1e-10,6.220,546,3,6.38e-16,5.96e-05,
40,1,KK-Lanczos nev4 kd32 tol1e-10,2.065,226,1,5.71e-16,5.96e-05,
40,1,KK-Lanczos nev4 kd128 tol1e-10,4.365,436,3,5.01e-16,5.96e-05,
40,1,KK-Lanczos nev4 kd256 tol1e-10,4.691,463,3,5.81e-16,5.96e-05,
40,1,KK-Lanczos nev16 kd64 tol1e-10,4.131,441,3,9.19e-16,5.96e-05,
40,1,KK-deflated nev2 kd32 tol1e-10,7.440,821,3,1.97e-13,5.96e-05,4
40,1,KK-deflated nev4 kd64 tol1e-10,3.338,787,3,5.04e-13,5.96e-05,3
40,1,KK-block b2 nev4 kd64 tol1e-10,1.646,325,2,2.87e-13,5.96e-05,
40,1,KK-block b4 nev4 kd64 tol1e-10,1.760,513,3,5.91e-13,5.96e-05,
40,1,KK-block b4 nev4 kd128 tol1e-10,0.958,441,3,2.41e-13,5.96e-05,
40,1,KK-block b8 nev8 kd128 tol1e-10,1.698,801,3,1.89e-15,5.96e-05,
40,2,Arpack nev4 ncv20 tol1e-10,2.103,863,4,4.84e-07,NaN,
40,2,Arpack nev4 ncv64 tol1e-10,2.370,874,4,4.84e-07,NaN,
40,2,Arpack nev4 ncv128 tol1e-10,2.755,968,4,4.84e-07,NaN,
40,2,Arpack nev16 ncv33 tol1e-10,1.434,539,4,4.84e-07,1.69e-03,
40,2,Arpack nev16 ncv128 tol1e-10,1.496,543,4,4.84e-07,1.69e-03,
40,2,KK-Lanczos nev4 kd32 tol1e-10,0.605,239,2,4.84e-07,1.69e-03,
40,2,KK-Lanczos nev4 kd128 tol1e-10,0.841,233,2,4.84e-07,1.69e-03,
40,2,KK-Lanczos nev4 kd256 tol1e-10,2.194,463,4,4.84e-07,1.69e-03,
40,2,KK-Lanczos nev16 kd64 tol1e-10,1.918,341,3,4.84e-07,1.69e-03,
40,2,KK-deflated nev2 kd32 tol1e-10,2.817,808,4,4.84e-07,1.69e-03,4
40,2,KK-deflated nev4 kd64 tol1e-10,2.262,764,4,4.84e-07,1.69e-03,3
40,2,KK-block b2 nev4 kd64 tol1e-10,0.979,325,3,4.84e-07,1.69e-03,
40,2,KK-block b4 nev4 kd64 tol1e-10,1.349,485,4,4.84e-07,1.69e-03,
40,2,KK-block b4 nev4 kd128 tol1e-10,1.436,441,4,4.84e-07,1.69e-03,
40,2,KK-block b8 nev8 kd128 tol1e-10,3.749,801,4,4.84e-07,1.69e-03,
40,3,Arpack nev4 ncv20 tol1e-10,4.155,768,3,6.80e-16,1.16e-04,
40,3,Arpack nev4 ncv64 tol1e-10,3.298,707,3,1.19e-15,1.16e-04,
40,3,Arpack nev4 ncv128 tol1e-10,3.870,843,3,1.06e-15,1.16e-04,
40,3,Arpack nev16 ncv33 tol1e-10,3.888,544,3,7.71e-16,1.16e-04,
40,3,Arpack nev16 ncv128 tol1e-10,3.252,539,3,9.14e-16,1.16e-04,
40,3,KK-Lanczos nev4 kd32 tol1e-10,2.184,327,2,1.65e-14,1.16e-04,
40,3,KK-Lanczos nev4 kd128 tol1e-10,2.163,283,2,1.26e-13,1.16e-04,
40,3,KK-Lanczos nev4 kd256 tol1e-10,4.740,462,3,7.55e-16,1.16e-04,
40,3,KK-Lanczos nev16 kd64 tol1e-10,3.616,416,3,8.50e-16,1.16e-04,
40,3,KK-deflated nev2 kd32 tol1e-10,7.412,821,3,2.83e-13,1.16e-04,4
40,3,KK-deflated nev4 kd64 tol1e-10,5.697,789,3,7.39e-14,1.16e-04,3
40,3,KK-block b2 nev4 kd64 tol1e-10,3.819,481,3,1.49e-13,1.16e-04,
40,3,KK-block b4 nev4 kd64 tol1e-10,2.712,485,3,5.58e-13,1.16e-04,
40,3,KK-block b4 nev4 kd128 tol1e-10,1.554,441,3,7.58e-14,1.16e-04,
40,3,KK-block b8 nev8 kd128 tol1e-10,2.484,801,3,3.75e-15,1.16e-04,
40,4,Arpack nev4 ncv20 tol1e-10,2.190,739,3,7.34e-16,1.05e-03,
40,4,Arpack nev4 ncv64 tol1e-10,1.374,688,3,8.78e-16,1.05e-03,
40,4,Arpack nev4 ncv128 tol1e-10,1.606,841,3,9.71e-16,1.05e-03,
40,4,Arpack nev16 ncv33 tol1e-10,1.062,541,3,6.09e-16,1.05e-03,
40,4,Arpack nev16 ncv128 tol1e-10,0.844,444,3,9.60e-16,1.05e-03,
40,4,KK-Lanczos nev4 kd32 tol1e-10,0.533,316,2,6.48e-14,1.05e-03,
40,4,KK-Lanczos nev4 kd128 tol1e-10,0.615,283,2,7.09e-15,1.05e-03,
40,4,KK-Lanczos nev4 kd256 tol1e-10,0.463,257,2,4.44e-13,1.05e-03,
40,4,KK-Lanczos nev16 kd64 tol1e-10,0.782,418,3,2.11e-15,1.05e-03,
40,4,KK-deflated nev2 kd32 tol1e-10,1.509,795,3,1.21e-15,1.05e-03,4
40,4,KK-deflated nev4 kd64 tol1e-10,1.319,737,3,8.72e-15,1.05e-03,3
40,4,KK-block b2 nev4 kd64 tol1e-10,0.610,299,2,5.52e-15,1.05e-03,
40,4,KK-block b4 nev4 kd64 tol1e-10,0.925,513,3,3.86e-14,1.05e-03,
40,4,KK-block b4 nev4 kd128 tol1e-10,0.845,441,3,9.06e-14,1.05e-03,
40,4,KK-block b8 nev8 kd128 tol1e-10,1.710,857,3,1.58e-15,1.05e-03,
40,5,Arpack nev4 ncv20 tol1e-10,2.567,1420,3,6.43e-16,4.54e-06,
40,5,Arpack nev4 ncv64 tol1e-10,1.544,824,2,6.40e-16,4.54e-06,
40,5,Arpack nev4 ncv128 tol1e-10,3.360,1570,3,1.72e-15,4.54e-06,
40,5,Arpack nev16 ncv33 tol1e-10,1.833,678,3,8.19e-16,4.54e-06,
40,5,Arpack nev16 ncv128 tol1e-10,1.720,645,3,9.09e-16,4.54e-06,
40,5,KK-Lanczos nev4 kd32 tol1e-10,0.709,292,1,7.11e-16,4.54e-06,
40,5,KK-Lanczos nev4 kd128 tol1e-10,0.848,285,1,5.94e-16,4.54e-06,
40,5,KK-Lanczos nev4 kd256 tol1e-10,0.635,257,1,6.52e-16,4.54e-06,
40,5,KK-Lanczos nev16 kd64 tol1e-10,1.362,516,3,7.54e-16,4.54e-06,
40,5,KK-deflated nev2 kd32 tol1e-10,2.888,1120,3,7.48e-14,4.54e-06,4
40,5,KK-deflated nev4 kd64 tol1e-10,3.254,1192,3,7.25e-16,4.54e-06,4
40,5,KK-block b2 nev4 kd64 tol1e-10,1.560,585,3,5.50e-14,4.54e-06,
40,5,KK-block b4 nev4 kd64 tol1e-10,1.576,597,3,3.73e-13,4.54e-06,
40,5,KK-block b4 nev4 kd128 tol1e-10,1.379,545,3,1.41e-14,4.54e-06,
40,5,KK-block b8 nev8 kd128 tol1e-10,2.419,857,3,1.91e-14,4.54e-06,
