d,seed,config,T,seconds,bytes,peak_rss_gb,nullity,lsq_err,support,perm_ok,status
30,30,LU-CPQR/F64,Float64,1.272879,4698112488,1.7200,3,1.878302e-14,1.000000,true,"ok"
30,30,Arpack/F64,Float64,0.253672,1199622544,1.7367,3,4.191402e-14,1.000000,true,"ok"
30,30,Krylov/F64,Float64,0.303801,1386942056,1.7369,3,2.469633e-14,1.000000,true,"ok"
30,30,Auto/F64,Float64,0.249200,1199622704,1.7369,3,1.552834e-13,1.000000,true,"ok"
30,30,QuickDer/F64,Float64,0.330109,318110080,1.8376,3,2.484095e-14,1.000000,true,"ok"
30,30,Arpack/F32,Float32,0.195923,673983248,1.8458,3,2.263036e-05,1.000000,true,"ok"
30,30,Krylov/F32,Float32,0.144682,499588568,1.8458,3,4.655358e-05,1.000000,true,"ok"
30,30,SVD/F32,Float32,1.154373,2756777144,1.8459,3,2.067736e-05,1.000000,true,"ok"
30,30,QuickDer/F32,Float32,0.208015,174513136,1.8662,3,1.735728e-05,1.000000,true,"ok"
30,1030,SVD/F64,Float64,1.601906,4758619640,1.8665,3,9.408067e-14,1.000000,true,"ok"
30,1030,LU-CPQR/F64,Float64,1.247599,4698112488,1.8665,3,1.911847e-14,1.000000,true,"ok"
30,1030,Arpack/F64,Float64,0.335902,1505146888,1.8665,3,8.842078e-14,1.000000,true,"ok"
30,1030,Krylov/F64,Float64,0.301413,1387581160,1.8666,3,3.322671e-12,1.000000,true,"ok"
30,1030,Auto/F64,Float64,0.325969,1505147048,1.8666,3,4.296042e-14,1.000000,true,"ok"
30,1030,QuickDer/F64,Float64,0.274866,308272768,1.8671,3,5.346208e-14,1.000000,true,"ok"
30,1030,Arpack/F32,Float32,0.192490,670208416,1.8671,3,2.999382e-05,1.000000,true,"ok"
30,1030,Krylov/F32,Float32,0.145086,499815784,1.8671,3,5.728217e-05,1.000000,true,"ok"
30,1030,SVD/F32,Float32,1.139868,2756777144,1.8671,3,7.697539e-05,1.000000,true,"ok"
30,1030,QuickDer/F32,Float32,0.181326,167782368,1.8671,3,2.108756e-05,1.000000,true,"ok"
40,40,SVD/F64,Float64,6.215100,17754369904,2.1791,3,1.058681e-13,1.000000,true,"ok"
40,40,LU-CPQR/F64,Float64,4.716967,17553790096,2.1848,3,3.157662e-14,1.000000,true,"ok"
