family,case,dims,valence,expected_final,T,seed,config,solver,restricted_nullity,final_nullity,certified,status,undecidable,near_null,rule,gap,selected,next_value,max_zlaw_resid,seconds,notes
sphere,sphere3-64,64x64x64,3,3,Float64,20260904,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,67687.4,3.406e-18;9.152e-17;2.325e-16;2.743e-16;3.554e-16;4.651e-16;5.68e-16;5.813e-16;6.517e-16;6.942e-16;8.208e-16;8.216e-16;1.197e-15,1.20237e-10,7.53112e-08,4.862613,
sphere,sphere3-64,64x64x64,3,3,Float64,20260905,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,7.10168e+09,7.578e-17;1.77e-16;1.929e-16;2.533e-16;3.09e-16;3.147e-16;5.047e-16;5.874e-16;6.819e-16;7.409e-16;8.163e-16;1.056e-15;1.151e-15,1.26151e-05,1.37402e-12,5.639826,
sphere,sphere3-64,64x64x64,3,3,Float64,20260906,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,2.46709e+09,5.182e-17;5.598e-17;7.721e-17;1.256e-16;2.136e-16;2.161e-16;2.518e-16;5.238e-16;6.638e-16;7.61e-16;7.998e-16;9.002e-16;9.66e-16,4.38243e-06,2.47141e-11,6.522779,
sphere,sphere3-64,64x64x64,3,3,Float64,20260907,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,1.30525e+10,1.673e-19;1.254e-17;3.873e-17;4.793e-17;9.378e-17;2.387e-16;2.743e-16;3.397e-16;4.143e-16;5.601e-16;6.017e-16;6.184e-16;1.091e-15,2.3186e-05,1.29051e-12,6.397813,
sphere,sphere3-64,64x64x64,3,3,Float64,20260908,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,1.62822e+10,4.024e-17;1.113e-16;1.353e-16;1.357e-16;1.887e-16;2.762e-16;2.924e-16;3.59e-16;4.3e-16;5.778e-16;8.436e-16;8.729e-16;9.214e-16,2.8923e-05,8.30558e-13,4.783452,
sphere,sphere3-64,64x64x64,3,3,Float64,20260909,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,2.43129e+10,1.304e-17;1.07e-16;1.229e-16;1.268e-16;1.656e-16;2.558e-16;2.86e-16;2.956e-16;3.651e-16;5.663e-16;8.226e-16;9.453e-16;9.574e-16,4.31884e-05,1.82364e-13,4.094291,
sphere,sphere3-64,64x64x64,3,3,Float32,20260904,mf-arpack,ArpackSolver,14,3,false,ok,0,0,threshold,25.2445,1.997e-8;2.683e-8;6.04e-8;6.136e-8;7.779e-8;8.151e-8;1.005e-7;2.12e-7;2.41e-7;2.671e-7;3.224e-7;3.342e-7;3.475e-7;3.854e-7,2.4075e-05,5.1932e-05,1.885070,
sphere,sphere3-64,64x64x64,3,3,Float32,20260905,mf-arpack,ArpackSolver,13,3,false,ok,0,0,threshold,9.62891,6.964e-10;4.264e-8;4.866e-8;5.465e-8;1.382e-7;1.462e-7;1.814e-7;1.894e-7;1.955e-7;2.014e-7;2.143e-7;2.672e-7;2.927e-7,9.18285e-06,0.0001424,1.591171,
sphere,sphere3-64,64x64x64,3,3,Float32,20260906,mf-arpack,ArpackSolver,13,3,false,ok,0,0,threshold,37.2986,1.341e-8;4.019e-8;4.063e-8;7.679e-8;9.432e-8;1.042e-7;1.082e-7;1.5e-7;1.562e-7;1.583e-7;2.052e-7;2.306e-7;3.703e-7,3.55707e-05,0.00321473,2.403104,
sphere,sphere3-64,64x64x64,3,3,Float32,20260907,mf-arpack,ArpackSolver,13,3,false,ok,0,0,threshold,15.1115,3.149e-8;3.341e-8;3.402e-8;4.05e-8;4.11e-8;6.76e-8;8.836e-8;1.518e-7;1.859e-7;2.643e-7;2.761e-7;2.877e-7;2.909e-7,1.44114e-05,0.00042672,1.334167,
